"Registrant","Registration #","RegistrationDate","TerminationDate"
"Byrnes, Sue","4923","06/28/1994","01/23/1995"
"Byzek (Major-Retired), Stephen Joseph","1747","06/03/1964","06/13/1964"
"C&M Capitolink, LLC","5737","03/09/2006","07/17/2006"
"C&M Capitolink, LLC","5858","01/22/2008","04/30/2008"
"C&O Resources, Inc.","4827","07/07/1993","04/26/1995"
"C. Hartwig, Inc.","675","05/24/1951","05/24/1951"
"C. Itoh & Company (America), Inc.","4024","08/14/1987","10/09/1987"
"C.J. LaRoche & Company, Inc.","1716","04/27/1964","05/15/1964"
"C.V.G. Siderurgica del Orinoco, C.A. - Oficina de Pittsburgh","1792","09/18/1964","12/27/1966"
"C/R International, L.L.C.","5117","07/02/1996","04/10/2006"
"CANAMCO","3884","09/19/1986","12/31/1996"
"CASYSTEMS International, Inc.","4878","12/16/1993","11/30/1994"
"CCO Communications LLC","6874","10/09/2020","03/31/2021"
"CD Global Strategies Group, LLC","6262","11/11/2014","11/30/2016"
"CDN International, Inc.","5992","06/28/2010","12/31/2018"
"CEDOK Czechoslovak Travel Bureau","1848","02/01/1965","05/30/1991"
"CGCN Group","6396","11/30/2016","09/30/2022"
"CHACMA, Inc.","4020","08/03/1987","06/11/1992"
"CHP Representation to the United States, LLC","6168","05/06/2013",""
"CIT Travel Service, Inc.","465","06/04/1947","06/04/1952"
"CITGO Holding, Inc. (""CITGOH"")","6955","04/30/2021","04/30/2021"
"CITGO Holding, Inc. (CITGOH)","6995","08/20/2021",""
"CITGO Petroleum Corporation (""CPC"")","6954","04/30/2021","04/30/2021"
"CITGO Petroleum Corporation (CPC)","6996","08/20/2021",""
"CLS Strategies","5774","10/06/2006","10/30/2016"
"CLS Strategies","6766","12/11/2019","03/01/2020"
"CLS Strategies","6523","02/12/2018","03/28/2018"
"CMG Communications, L.L.C.","5129","06/24/1996","06/30/2003"
"CMGRP, Inc., d/b/a Rogers & Cowan","6769","12/13/2019","03/01/2021"
"CMS Strategies, LLC","5766","09/12/2006","10/31/2011"
"COGEMA, Inc.","3587","05/17/1984","11/17/2002"
"CRAFT I Media Digital","6061","09/14/2011","12/31/2011"
"CTF Global LLC","7008","09/03/2021","05/31/2022"
"CYPARIS","6692","06/24/2019","12/31/2019"
"Cable & Wireless North America, Inc.","4231","03/29/1989","05/23/1994"
"Cable & Wireless, Inc.","4945","07/11/1994","05/30/1997"
"Cabrera, Henry","1376","07/14/1960","08/16/1960"
"Cadwalader, Wickersham & Taft","3665","04/05/1985","08/14/1986"
"Cadwalader, Wickersham & Taft","4083","01/21/1988","10/22/1992"
"Cadwalader, Wickersham & Taft","3516","08/25/1983","09/26/1984"
"Cadwalader, Wickersham & Taft","5033","06/30/1995","11/15/1996"
"Cadwalader, Wickersham & Taft, LLP","6221","05/15/2014","04/15/2015"
"Cahill, Gordon & Reindel","4920","06/17/1994","06/30/1995"
"Cahill, Harry Amory","4476","02/28/1991","02/28/1992"
"Caine, Terry","3902","10/30/1986","12/01/1987"
"Calex Partners, LLC","6249","09/17/2014","09/17/2014"
"California Group/Translingua","4172","08/25/1988","02/13/1991"
"California Strategies & Advocacy, LLC","5697","07/20/2005","08/31/2005"
"California Strategies, LLC","7061","12/18/2021","08/13/2022"
"California Strategies, LLC","5889","10/14/2008","10/31/2011"
"California Strategies, LLC","6337","01/20/2016","03/31/2020"
"Calvosa, Ulrich","684","09/24/1951","09/25/1952"
"Camara Oficial Espanola de Comercio","2400","12/27/1972","12/27/2002"
"Cambridge Associates, Ltd.","5585","11/04/2003","11/04/2003"
"Cambridge Reports, Inc.","2670","03/23/1976","02/08/1977"
"Camche, Joel T.","1751","06/04/1964","12/15/1966"
"Cameron & Hornbostel, L.L.P.","4705","08/19/1992","12/30/1998"
"Cameron McKenna, LLP","5150","01/08/1997","01/31/2003"
"Cameron, Bruce P.","4043","09/28/1987","03/28/2000"
"Cameron, Bruce P.","5533","12/10/2002","06/30/2006"
"Cameron, Duncan H.","3164","10/08/1980","04/21/1982"
"Cameron, Duncan H.","2512","05/15/1974","12/19/1979"
"Cameron, Hornbostel & Butterman","3887","09/25/1986","06/15/1989"
"Cammer & Associates, Inc.","4648","03/31/1992","09/30/1994"
"Camp, Peter Mark","4187","11/09/1988","12/09/1991"
"Campaign Planning, Inc.","3862","07/25/1986","02/26/1988"
"Campbell, Falk & Selby","4700","07/14/1992","03/03/1993"
"Campbell-Ewald Company","2583","05/12/1975","04/25/1977"
"Campbell-Mithun, Inc.","1343","03/23/1960","02/03/1966"
"Campos Communications, Inc.","4927","07/11/1994","12/31/1994"
"Campos Communications, Inc.","4609","01/24/1992","03/23/1994"
"Camstoll Group, LLC","6144","12/10/2012",""
"Canadian Coalition on Acid Rain","3225","04/13/1981","01/30/1987"
"Canadian Connection, Ltd.","4800","04/27/1993","01/07/1994"
"Canadian National Railways","105","08/25/1942","08/25/1946"
"Cane, Stephen Paul","5062","09/11/1995","09/30/1998"
"Cannon Advertising Associates, Inc.","1945","12/14/1965","03/18/1985"
"Canzeri, Joseph W.","3633","12/03/1984","03/19/1985"
"Canzeri, Joseph W.","3437","01/25/1983","08/25/1983"
"CapConn, LLC d/b/a Capitol Connection","7427","06/27/2024","06/27/2024"
"Caparso, Anne Smith","5331","09/27/1999","03/31/2009"
"Capellan, Jose Francisco","2426","05/10/1973","11/24/1982"
"Capital Consultants Corporation","4874","10/29/1993","10/31/1995"
"Capital Counselors, Inc.","2673","03/25/1976","11/30/1976"
"Capital HQ LLC","7470","09/27/2024","02/17/2025"
"Capital International Information Services, Inc.","4472","02/12/1991","02/28/1996"
"Capital K, LLC","7456","09/05/2024",""
"Capital Partnerships, Inc.","4495","04/03/1991","01/25/1996"
"Capital Services of Washington, Inc.","4175","09/13/1988","03/13/1991"
"Capitol Advisors, Inc.","5245","03/25/1998","03/31/2001"
"Capitol Associates, Inc.","4544","07/18/1991","01/31/1995"
"Capitol Counsel, LLC","6328","11/19/2015",""
"Capitol Counsel, LLC","6253","09/26/2014","11/03/2014"
"Capitol Financial Strategies, LLC","6624","12/31/2018","12/27/2019"
"Capitol Group, Inc.","4682","06/08/1992","09/01/1993"
"Capitol Hill Strategies, LLC","6009","12/13/2010","11/30/2012"
"Capitol Integration","7207","12/21/2022","07/31/2023"
"Capitol Law & Policy Group, PLLC","5969","01/07/2010","07/31/2010"
"Capitol Links LLC","5761","06/27/2006","06/30/2007"
"Capitol Media Group","6412","03/31/2017",""
"Capitol Resources Group","4386","06/20/1990","12/31/1990"
"Capitoline/MS&L","4529","06/20/1991","12/31/1997"
"Caples Company","34","03/03/1943","02/03/1961"
"Caplin & Drysdale, Chartered","5470","01/30/2002","07/31/2003"
"Caplin & Drysdale, Chartered","3821","04/25/1986","12/01/1987"
"Caplin & Drysdale, Chartered","5815","06/22/2007","12/31/2009"
"Capone, Ronald A.","1620","04/19/1963","04/15/1983"
"Carbon Thread Agency","7007","09/01/2021","08/19/2022"
"CarbonZero IT, LLC","6094","03/19/2012","05/15/2012"
"Cardenas Partners, LLC","6080","12/15/2011","12/31/2012"
"Cardillo, Antonio","5742","03/31/2006","04/15/2006"
"Cardinal Bradette, Melina","6729","09/26/2019","12/20/2019"
"Carey, Edward L.","1235","06/12/1959","03/21/1961"
"Caribbean Tourism Development Company","5910","03/27/2008","02/28/2019"
"Caribbean Tourism Organization, USA Inc.","991","12/31/1956",""
"Caribou Technologies, Inc.","5367","04/18/2000","10/31/2004"
"Carignan, Raymond D.","4287","09/07/1989","12/28/1990"
"Carl Byoir & Associates","4411","09/12/1990","03/31/1993"
"Carl Byoir & Associates, Inc.","2568","03/28/1975","07/16/1980"
"Carl Byoir & Associates, Inc.","3170","11/24/1980","12/31/1987"
"Carl Byoir, Arnold, Palmer & Noble","2367","08/10/1972","09/05/1984"
"Carl Levin Associates, Inc.","1758","06/15/1964","07/26/1965"
"Carl Levin Associates, Inc.","2020","04/11/1967","04/13/1967"
"Carlberg & Associates, Inc.","5037","07/21/1995","01/31/1997"
"Carlington Sales Canada Corporation","5347","12/09/1999","12/31/2000"
"Carlington Sales Canada Corporation","5249","03/31/1998","03/31/1999"
"Carlos Abadi","6825","05/19/2020",""
"Carmen Group Incorporated","5727","01/17/2006","01/31/2008"
"Carmen Group Incorporated","5903","01/16/2009","07/31/2009"
"Carmen Group, Inc.","4675","05/28/1992","12/21/1992"
"Carmen Group, Inc.","5320","07/21/1999","01/31/2001"
"Carmen Group, Inc.","6188","09/16/2013","12/31/2013"
"Carmen Group, Inc.","4233","03/20/1989","03/31/1991"
"Carmen Group, Inc. & Linton, Mields, Reisler & Cottone, Inc.","4855","09/30/1993","03/31/1998"
"Carmen, Carmen & Hugel, Inc.","4066","11/23/1987","11/22/1988"
"Carney, William Parke","760","03/06/1953","03/06/1953"
"Caroline Jones Advertising, Inc.","4181","09/30/1988","03/30/1993"
"Caroline Law Corporation","6536","03/29/2018","04/01/2019"
"Carpa, Douglas J.","4255","05/12/1989","02/06/1990"
"Carpenter, Charles M.","29","07/09/1942","07/26/1943"
"Carpenter, David J.","2210","09/22/1970","09/22/1970"
"Carpenter, David J.","2241","01/29/1971","02/03/1972"
"Carpenters & Associates","3100","04/10/1980","03/01/1984"
"Carr & Warren","1473","08/15/1961","11/04/1963"
"Carrara Group LLC dba Carrara Nevada","7399","04/17/2024",""
"Carroll, Anthony J.","5130","08/19/1996","08/19/1996"
"Carry on Collective, Inc.","6583","08/10/2018","10/29/2018"
"Carter Ledyard & Milburn, LLP","5793","02/15/2007","02/16/2007"
"Carter, Robert S.","3207","03/09/1981","11/08/1982"
"Carter, William A.","3120","07/14/1980","08/06/1981"
"Cartier, Pierre C.","150","10/29/1942","10/02/1942"
"Caruthers, Scott","5372","05/18/2000","11/30/2000"
"Casanas, Annabel Guillen","6634","02/03/2019","02/29/2020"
"Casares Sanchez, Manuel","298","03/27/1945","03/27/1945"
"Casares Sanchez, Manuel","425","01/10/1947","09/19/1960"
"Casey, Lane & Mittendorf","1553","07/02/1962","08/08/1978"
"Caspian Group, LLC","5915","03/09/2009","07/30/2013"
"Cassidy & Associates Inc","6139","10/10/2012","04/02/2013"
"Cassidy & Associates, Inc.","5643","09/10/2004","12/31/2010"
"Cassidy & Associates, Inc.","6214","04/15/2014","09/30/2014"
"Cassidy & Associates, Inc.","4259","05/25/1989","12/01/2002"
"Cassidy & Associates, Inc.","6179","08/09/2013","12/31/2013"
"Cassidy & Associates, Inc.","6272","01/16/2015","04/18/2018"
"Castillo, Edward O.","6643","03/11/2019","07/31/2019"
"Catalan National Assembly in the United States of America Association","7111","04/30/2022",""
"Catalan National Council (U.S. Delegation)","83","08/07/1942","09/15/1945"
"Catalyst Research Inc. d/b/a The RXN Group","7422","06/14/2024",""
"Cathay Export Company (HK), Ltd.","1624","05/10/1963","11/10/1963"
"Cathey, Hutton & Associates, Inc.","4732","11/06/1992","11/19/1993"
"Catlett & Yancey, PLC","4914","05/17/1994","11/30/1994"
"Catto, Robert John","893","06/01/1955","02/14/1958"
"Cavas, Ahmet","7513","01/03/2025",""
"Cayman Islands Department of Tourism","2500","03/04/1974",""
"Cayman Islands News Bureau","2823","08/12/1977","03/10/1987"
"Cecil & Presbrey, Inc.","249","04/29/1944","06/30/1945"
"Cecil & Presbrey, Inc.","622","04/25/1950","04/25/1960"
"Cedar Group, LLC","5850","02/01/2008","12/07/2011"
"Ceisler Media & Issue Advocacy, LLC","6266","12/19/2014","11/30/2015"
"Celliers, Peter J.","2617","10/15/1975","04/15/1993"
"Cenkalski, Eugene","384","10/22/1946","10/22/1946"
"Center for International Policy","6896","11/25/2020",""
"Centex, Inc.","598","11/03/1949","12/31/1952"
"Centofanti, Vincent","5738","03/14/2006","09/30/2006"
"Central African Airways","2039","08/17/1967","02/01/1968"
"Central American Sugar Council","1585","12/28/1962","01/20/1982"
"Central Broadcasting Station Trust","2138","05/20/1969","03/30/1971"
"Central Council of Croation Associations - U.S. & Canada","1180","10/06/1958","05/14/1959"
"Central Economic Development Organization, Inc.","2026","05/18/1967","06/11/1968"
"Central News Agency of China, New York Bureau","391","11/08/1946","05/04/1973"
"Central News Agency of China, San Francisco Bureau","546","12/02/1948","06/03/1949"
"Central News Agency of China, San Francisco Bureau","1025","05/13/1957","05/22/1973"
"Central News Agency of China, Washington Bureau","621","03/29/1950","05/04/1973"
"Central Office of FUNCINPEC in America","3521","09/14/1983","12/03/1985"
"Central Parcel Service, Inc.","483","07/31/1947","01/28/1985"
"Centron Corporation, Inc.","3284","10/06/1981","05/04/1983"
"Cerceo, Alfred G.","1412","12/06/1960","06/06/1963"
"Cernak, Matus","778","07/06/1953","07/06/1953"
"Certus Insights, LLC","6801","03/18/2020",""
"Cervenak, Christine M.","4771","02/25/1993","08/30/1993"
"Ceylon (Sri Lanka) Tourist Board","2301","01/03/1972","10/15/1986"
"Ceylon Tourist Board, New York Information Office","2133","05/05/1969","05/25/1971"
"Chadbourne & Parke","3490","06/24/1983","01/25/1991"
"Chadbourne & Parke","4982","12/27/1994","06/22/1995"
"Chadbourne & Parke, LLP","5685","05/18/2005","11/30/2006"
"Chadwick, Kirsten A./Fierce, Isakowitz, & Blalock","5950","09/08/2009","12/31/2014"
"Chalk, O. Roy","4461","01/10/1991","12/01/1995"
"Chall Group, Inc.","4669","05/20/1992","10/03/1994"
"Chambers, Justice M.","2043","08/30/1967","03/31/1976"
"Chandor, E. Haring","1638","06/12/1963","06/12/1964"
"Chandor, E. Haring","1669","12/06/1963","12/06/1963"
"Chang, Carsun","791","09/28/1953","03/28/1954"
"Chang, Kee Young","26","07/09/1942","07/09/1942"
"Chapman, Clearwaters & Warren","2753","02/07/1977","03/01/1978"
"Chapman, DiSalle & Friedman","867","01/21/1955","02/23/1967"
"Chapoton, John E.","3717","08/07/1985","03/07/1986"
"Charles E. Butler & Associates","3544","12/29/1983","01/10/2010"
"Charles L. Fishman, P.C.","4054","11/06/1987","12/14/1989"
"Charles L. Fishman, P.C.","3386","07/08/1982","11/02/1982"
"Charles Snitow Organization, Inc.","1251","08/04/1959","10/01/1959"
"Charles W. Hoyt Company, Inc.","361","06/10/1946","08/28/1964"
"Charles von Loewenfeldt, Inc.","810","01/05/1954","07/05/1995"
"Charles, George J.","855","11/22/1954","04/30/1957"
"Charls E. Walker Associates, Inc.","4180","09/30/1988","10/12/1989"
"Charls E. Walker Associates, Inc.","3538","11/15/1983","02/13/1985"
"Charney, Leon H.","3579","04/30/1984","05/28/1987"
"Charney, Leon H.","4826","07/02/1993","10/25/1994"
"Chartwell Communications","4298","09/27/1989","05/18/1990"
"Chartwell Consultancy, LLC","6255","09/29/2014","05/20/2015"
"Chartwell Strategy Group, LLC","6518","02/02/2018",""
"Chase & Moss International, Inc.","1429","02/27/1961","03/31/1961"
"Chase Travel Service","1275","09/25/1959","03/25/1960"
"Chasey, William C.","3809","04/09/1986","10/03/1986"
"Checchi & Company","1713","04/14/1964","05/17/1971"
"Checkmate Government Relations LLC","7534","02/05/2025",""
"Cheesman, Frank Albert","880","03/23/1955","09/02/1955"
"Chenea, Virgil Edward","698","11/26/1951","06/23/1967"
"Chesapeake Enterprises, Inc.","5157","02/18/1997","08/31/1997"
"Chester, Edmund Albert","740","09/02/1952","11/01/1953"
"Chestnut Valley Consultants, Inc.","3093","03/06/1980","02/10/1981"
"Chicago Committee for Progressive Democrats of Ireland","4159","07/13/1988","01/13/1989"
"Chicago Committee for Progressive Democrats of Ireland","3842","06/09/1986","12/09/1987"
"Chilton International Company","2576","04/16/1975","11/13/1984"
"Chima Travel Bureau, Inc.","2608","09/18/1975","12/19/1989"
"China Books & Periodicals, Inc.","1350","04/06/1960","04/05/1996"
"China Daily Distribution Corporation","3457","04/19/1983",""
"China Exhibition Corporation","3071","11/30/1979","12/31/1980"
"China Institute in America, Inc.","79","08/03/1942","02/03/1952"
"China Media Services, Inc.","3793","03/11/1986","09/11/1990"
"China National Tourist Office","3318","12/30/1981",""
"China/US Club, LLC","6425","04/28/2017","08/31/2017"
"Chinamerica Corporation","3224","04/13/1981","12/01/1982"
"Chinar Consulting, LLC","6911","01/20/2021",""
"Chinel, Fernando Iturralde","233","02/07/1944","03/03/1944"
"Chinese Information Service","402","11/26/1946","12/31/1980"
"Chinese Information Service, Pacific Coast Bureau","1969","03/18/1966","12/31/1980"
"Chinese Investment & Trade Office, New York","1567","08/20/1962","12/12/1980"
"Chinese Nationalist Daily","373","10/01/1946","12/19/1949"
"Chinworth, Michael Wesley","2782","05/11/1977","07/16/1979"
"Chipeur, Gerald","5749","04/25/2006","10/31/2006"
"Chirawu, Teddy O.","3055","09/05/1979","03/25/1980"
"Chirurg & Cairns, Inc.","1822","11/25/1964","11/25/1964"
"Chisholm, James H.","3714","08/06/1985","08/21/1985"
"Chisom, Errol G.","3289","10/13/1981","12/31/1986"
"Chlopak, Leonard, Schechter & Associates, Inc.","4953","09/28/1994","12/31/1999"
"Cholakian, A. Egon","7419","06/12/2024",""
"Chopivsky, Alexandra Natalya","6855","08/11/2020","05/18/2021"
"Choroszej, Walter R.","2063","11/13/1967","11/13/1969"
"Choudree, Ashwin","371","09/11/1946","09/11/1946"
"Choukanoff, Boyan Petkoff","349","03/27/1946","03/15/1947"
"Christensen, Valdemar Emil","7","07/06/1942","07/06/1942"
"Christenson, Frank M.","3645","01/24/1985","02/04/1986"
"Christian League of Southern Africa","2957","09/15/1978","12/31/1981"
"Christie Strategies, LLC","6026","03/18/2011","05/01/2011"
"Christman, Robert A.","1564","07/24/1962","07/23/1962"
"Chu, Nam Hoon","5590","12/01/2003","12/01/2003"
"Chung, Woonsoo","63","07/27/1942","07/27/1943"
"ChungCheongNam-Do Provincial Government - New York Office","5187","06/23/1997","11/30/2007"
"Churchill Ripley, LLC","6519","02/02/2018","07/31/2018"
"Chwat, John","6525","02/14/2018","03/31/2018"
"Chwat/Weigend Associates","4320","12/04/1989","06/30/1992"
"Chylinski, Bogdan","1536","04/13/1962","04/13/1962"
"Cianfaglione, Quintino","5745","04/18/2006","04/18/2006"
"Cichanowicz & Callan","1694","02/26/1964","02/26/1964"
"Cinque, A.P.","2831","09/16/1977","06/12/1980"
"Circle of the Croatian Knights","878","03/09/1955","03/09/1955"
"Ciskei Trade Mission, Ltd.","3891","09/29/1986","11/01/1990"
"Cisneros, Juan","1868","03/16/1965","03/16/1965"
"Citigate, Inc.","5089","12/18/1995","12/18/1995"
"Citizens for Democracy in Georgia","6128","08/24/2012","10/01/2012"
"Citizens for a Free Kuwait","4551","05/17/1991","03/19/1992"
"Citron, Wolfgang","843","08/23/1954","08/23/1955"
"City of London USA LLC","7410","05/15/2024",""
"City of Osaka, Chicago Office","5979","03/12/2010","11/30/2012"
"Civic Service, Inc.","3385","06/28/1982","06/30/1998"
"Civica LLC","7275","05/18/2023","09/21/2023"
"Cladouhos & Brashares","3042","07/23/1979","07/15/1981"
"Cladouhos & Brashares","2778","05/03/1977","12/05/1977"
"Clark & Weinstock","5457","09/10/2001","06/30/2003"
"Clark & Weinstock","5617","04/23/2004","03/30/2007"
"Clark & Weinstock","5914","03/06/2009","05/31/2010"
"Clark & Weinstock, Inc.","4646","04/10/1992","12/09/1993"
"Clark Consulting","5611","03/12/2004","03/31/2007"
"Clark Hill, PLC","5709","09/08/2005","03/08/2006"
"Clark, Charles Patrick","1907","07/19/1965","11/28/1967"
"Clark, Charles Patrick","562","02/11/1949","08/11/1964"
"Clark, Clifford M.","655","01/12/1951","01/12/1953"
"Clark, Mark Edmond","5755","06/22/2006","06/30/2013"
"Clark, Mark Edmond","5701","08/01/2005","02/28/2006"
"Clark, Robert A.","3822","04/29/1986","05/21/1987"
"Clark, Robert Brewster","3066","11/05/1979","06/07/1980"
"Clark-Tuckerman Group","669","04/16/1951","10/17/1952"
"Clarke & Company, Inc.","4074","12/11/1987","09/12/1994"
"Clarke Judge Consultants","4654","04/24/1992","01/21/1993"
"ClarkeGowardFittsMatteson, Inc.","4123","04/20/1988","10/20/1993"
"Clay, Henry J.","1171","09/26/1958","09/26/1958"
"Clayton, Reginald Hugh","4324","12/13/1989","09/25/1990"
"Cleary Gottlieb Steen & Hamilton LLP","6964","05/25/2021","05/31/2023"
"Cleary Gottlieb Steen & Hamilton LLP","6607","11/06/2018","11/30/2019"
"Cleary, Gottlieb, Steen & Hamilton, LLP","508","01/19/1948","12/31/2012"
"Clement-Petrocik Company","2249","03/18/1971","03/18/1994"
"Cleveland, Stanley M.","3130","08/11/1980","04/04/1986"
"Clews Communications, Inc.","3889","09/26/1986","07/03/1989"
"Cliff Madison Government Relations, Inc.","4060","11/19/1987","12/31/1991"
"Clifford & Warnke","2564","03/26/1975","02/03/1992"
"Clifford L. Brody Associates","4456","12/28/1990","12/14/1992"
"Clifton Counselors, Inc.","2071","01/23/1968","10/31/1968"
"Clifton, Chester V.","2561","03/04/1975","05/24/1979"
"Clinton E. Frank, Inc.","2109","10/24/1968","12/21/1970"
"Clinton E. Frank, Inc.","2586","05/28/1975","07/11/1978"
"Clinton E. Frank, Inc., New York","1601","02/25/1963","10/24/1968"
"Clinton, Fleck, Glein & Brown","2865","02/23/1978","12/14/1978"
"Clinton, Moats, Anderson & Fleck, Attorneys at Law","2292","12/03/1971","12/03/1971"
"Cloakroom Advisors, LLC","6218","04/25/2014","09/02/2014"
"Cloakroom Advisors, LLC","6336","01/14/2016","02/28/2017"
"Close, Anne","2785","06/07/1977","05/09/1979"
"Cloudman, Olin B.","2031","06/23/1967","02/07/1973"
"Clout Public Affairs, LLC","6700","07/12/2019","04/26/2022"
"Club 26 de Julio de Miami","1423","02/01/1961","02/01/1961"
"Club Movimiento 26 de Julio de New York","1151","06/18/1958","01/17/1959"
"Club Patriotico 26 de Julio de Miami","998","02/06/1957","01/01/1959"
"Clyde Group, LLC","6631","01/28/2019","07/31/2019"
"Co-Ordinated Marketing Agency, Inc.","1487","10/13/1961","10/13/1964"
"Coalition for Unity and Democracy Relief & Development Association (Kinijit)","5778","11/22/2006","11/22/2006"
"Coalition for a Democratic Haiti","4007","07/02/1987","09/13/1989"
"Coast to Coast Strategies, LLC","6833","06/04/2020","06/30/2020"
"Cobb, David","1512","01/24/1962","03/15/1974"
"Cochran, Gosselin & Associates","906","08/26/1955","02/26/1956"
"Cogent Law Group LLP","6786","01/23/2020","07/31/2021"
"Cogent Strategies LLC","6502","12/21/2017","04/01/2019"
"Cogent Strategies LLC","6927","02/23/2021",""
"Cohen & Aleshire, Inc.","1302","12/03/1959","06/03/1960"
"Cohen & Woods International, Inc.","5003","03/10/1995","09/30/2007"
"Cohen Associates, Ltd., Inc.","4016","07/22/1987","04/16/1993"
"Cohen Gettings, P.C.","5283","10/23/1998","04/30/2002"
"Cohen, David B.","6321","09/30/2015","03/22/2024"
"Cohen, Marcus","6732","10/02/2019","10/02/2019"
"Cohn & Marks","4303","10/10/1989","06/02/1993"
"Colby II, Whitney Coffin","6007","11/16/2010","11/16/2010"
"Colby, Baily & Associates","3663","03/22/1985","10/08/1987"
"Colby, William E.","3957","04/07/1987","08/03/1993"
"Colby, William E.","2905","05/31/1978","06/17/1981"
"Cole Corette & Abrutyn, P.C.","2968","10/18/1978","11/22/1994"
"Coleridge, David Ean","4572","10/03/1991","04/27/1993"
"Coll Davidson Carter Smith Salter & Barkett, P.A.","4234","04/06/1989","05/30/1990"
"Colle & McVoy Public Relations","3960","04/15/1987","06/14/1989"
"College Film Center","304","06/08/1945","06/06/1946"
"Collegial Society of Hungarian Veterans in the U.S.A.","920","11/16/1955","06/30/1968"
"Collier Shannon Scott, PLLC","3694","06/24/1985","12/23/2003"
"Collier Shannon Scott, PLLC","5718","10/31/2005","10/31/2005"
"Collier, Robert A.","1291","11/05/1959","05/05/1961"
"Collier, Shannon, Rill, Edwards & Scott","2504","03/12/1974","01/06/1978"
"Collier, Shannon, Rill, Edwards & Scott, Chartered","2937","08/02/1978","09/01/1981"
"Collins Anderson Philp Public Affairs","6124","08/07/2012","02/28/2013"
"Collins, Grace","5566","07/02/2003","01/31/2011"
"Colombia Flower Council","4888","01/24/1994","07/31/1996"
"Colombian Coffee Federation, Inc.","4909","04/06/1994",""
"Colombian Government Tourist Office","1285","10/12/1959","04/18/1991"
"Colombian Government Trade Bureau","2121","01/30/1969","09/02/1981"
"Colombian Information Service","1979","06/01/1966","03/30/1994"
"Coltrin & Associates, Inc.","5782","12/26/2006","12/26/2006"
"Columbus Lighthouse Committee of America","2163","09/24/1969","09/19/1977"
"Combat Org. Free Poland/Organizacja Bojowa Wolana Polska","2712","07/20/1976","03/14/1979"
"Comeau & Company LLC","6666","04/18/2019","03/31/2021"
"Cominco American Incorporated","5243","03/17/1998","09/30/1999"
"Comite Central de la Union Patriotica Dominicana","286","01/02/1945","07/02/1946"
"Comite Central del Partido Democrata Popular en EUA","2203","08/10/1970","01/27/1972"
"Comite Central del Partido Revolucionario Dominicano en EUA","2173","12/01/1969","09/23/1971"
"Comite France Amerique","131","09/14/1942","03/14/1947"
"Comite Municipal Sinarquista","184","04/03/1943","04/03/1945"
"Comite Ortodox de Nueva York","1208","03/06/1959","03/06/1959"
"Comite Pro-Liberacion Nicaraguense en Nueva York","1310","12/14/1959","04/30/1965"
"Comite Regional Sinarquista en Los Angeles","139","10/08/1942","03/04/1968"
"Comite de Ayuda Agrupacion Politca 14 de Junio","1525","03/16/1962","02/28/1962"
"Comite de Ayuda Pro Liberacion de Nicaragua","1377","07/14/1960","08/16/1960"
"Command Consulting Group, LLC (CCG)","6090","02/17/2012","12/31/2013"
"Commerce Consultants International, Ltd.","4248","05/05/1989","01/04/1993"
"Commerce International China, Inc.","679","06/26/1951","06/26/1954"
"Committee For Unity Of The Nile Valley","467","06/06/1947","04/01/1948"
"Committee for Formosans' Free Formosa","1065","09/10/1957","09/11/1957"
"Committee for Free Elections & Democracy in Nicaragua","4313","11/08/1989","05/15/1990"
"Committee for the 1984 Act (CFA)","4410","09/10/1990","11/02/1993"
"Committee for the Free Republic of South Moluccas, Inc.","2172","11/24/1969","04/09/1975"
"Committee on Planning & Advising for Chinese Students in US","414","01/06/1947","02/14/1962"
"Committee to Support-Civic Democratic Pty. of Czechoslovakia","4658","04/22/1992","12/30/1992"
"Commonwealth Consulting Corporation","4647","03/31/1992","10/26/1993"
"Commonwealth Consulting Corporation","4261","06/16/1989","05/08/1990"
"Commonwealth Group, Ltd.","4713","09/30/1992","09/30/1993"
"Commonwealth of Dominica Maritime Registry, Inc.","5334","10/12/1999",""
"Communetics, Inc.","2421","05/01/1973","05/28/1975"
"Communetics, Inc.","2352","07/03/1972","07/21/1972"
"Communications Affiliates, Inc.","3007","03/26/1979","08/14/1985"
"Communications Company, Inc.","4387","06/20/1990","12/31/1990"
"Communications Company, Inc.","3696","06/26/1985","03/06/1986"
"Communications Counselors, Inc.","996","02/04/1957","08/04/1959"
"Community Partners","6659","04/09/2019","03/31/2021"
"Compagnie Generale Transatlantique (French Line)","62","07/27/1942","07/27/1960"
"Compagnie des Bauxites de Guinea","1784","09/01/1964","04/15/1969"
"Compass Publications, Inc.","1981","06/08/1966","01/14/1975"
"Compton Advertising, Inc.","2095","07/01/1968","02/28/1971"
"Compton Advertising, Inc.","2925","07/06/1978","01/05/1983"
"Conant & Company Public Relations, Inc.","1896","05/27/1965","02/07/1966"
"Cone Communications","3934","02/05/1987","08/21/1989"
"Conewago Consulting LLC d/b/a Hutton Strategies","6982","07/28/2021","08/28/2021"
"Confederacion General de Trabajadores de P. Rico-Autentica","914","09/26/1955","09/26/1955"
"Congo Information Bureau","1538","04/20/1962","10/20/1963"
"Congo National Tourist Office","1358","05/09/1960","06/14/1960"
"Conlon Associates, Ltd.","1146","06/09/1958","03/21/1959"
"Conn Communications","4454","12/27/1990","12/31/1994"
"Connaught Laboratories, Inc.","4129","04/29/1988","04/29/1996"
