"Registrant","Registration #","RegistrationDate","BusinessName"
"White Star Business Group LLC","7468","09/25/2024",""
"Wiles, Lanny","6664","04/15/2019",""
"Williams Group","6790","02/06/2020",""
"Williams,Timothy Charles","7378","03/05/2024",""
"Wissler, John Eric","7012","09/06/2021",""
"World Professionals Group LLC d/b/a WP Group","7481","10/21/2024",""
"World Zionist Organization - American Section, Inc.","2278","09/21/1971",""
"Xin Min International, Inc.","6897","12/01/2020",""
"Xinhua News Agency North America","6958","05/05/2021",""
"Yayasan Berbakti Semangat Indonesia","7544","02/25/2025",""
"Yorktown Solutions, LLC","6491","11/19/2017",""
"Your Global Strategy, Inc.","7455","09/05/2024",""
"Yusupov, Adham","7284","06/16/2023",""
"Zaslavskiy, Ilya","7503","12/13/2024",""
"Zell & Associates International Advocates LLC","7517","01/13/2025",""
"Zeno Group, Inc.","6652","03/18/2019",""
"theGroup DC, LLC","6388","10/28/2016",""
"van den Toorn, Christine McCaffray","7490","11/23/2024",""
