"Country/LocationRepresented","Foreign Principal","Foreign PrincipalRegistration Date","Address","State","Registrant","Registration #","RegistrationDate"
"ARMENIA","Public Television of Armenia CSJC","12/21/2024","26 Garegin Hovsepyan streetYerevan&nbsp;&nbsp;","","First Channel America, Inc.","7509","12/21/2024"
"BAHRAIN","Bahrain Economic Development Board","10/21/2024","3rd Floor, ArcapitaBahrain Bay&nbsp;&nbsp;","","Fleishman-Hillard, Inc.","5801","04/16/2007"
"SAUDI ARABIA","Future Investment Initiative Institute (FII Insti tute)","01/24/2025","RDC Complex, Building CS01,4th Floor, Unit 9 4044 Al Imam Saud Ibn Abdul Aziz Branch RoadAl Nakhil, Riyah&nbsp;&nbsp;","","Fleishman-Hillard, Inc.","5801","04/16/2007"
"DOMINICAN REPUBLIC","Dominican Republic Presidency","07/11/2023","Palacio Nacional/ Presidencia Santo Domingo&nbsp;&nbsp;","","Baez, Amado Alejandro","7292","07/11/2023"
"TURKEY","Government of the Republic of Turkey, Embassy","03/03/2014","2525 Massachusetts Avenue, NWWashington&nbsp;&nbsp;29998","DC","LB International Solutions, LLC","6210","03/03/2014"
"CYPRUS","Turkish Republic of Northern Cyprus (TRNC) Washington DC Office","01/03/2023","1667 K Street NW, Suite 690 Washington&nbsp;&nbsp;20006","DC","LB International Solutions, LLC","6210","03/03/2014"
"TAIWAN","Tapei Economic & Cultural Representative Office in the United States","01/26/2021","4201 Wisconsin Ave., NWWashington&nbsp;&nbsp;20016","DC","Empire Consulting Group, Inc.","6919","01/26/2021"
"TAIWAN","Taipei Economic and Cultural Representative Office (TECRO)","12/12/2024","4201 Wisconsin Avenue NWWashington&nbsp;&nbsp;20016","DC","Reed, Travis Dean","7501","12/12/2024"
"CONGO DEMOCRATIC REPUBLIC OF THE","Embassy of Democratic Republic Congo","01/30/2023","1100 Connecticut Avenue, NW Washington&nbsp;&nbsp; 20036","DC","King, Isaiah","7224","01/30/2023"
"ETHIOPIA","Oromo Liberation Front (OLF)","01/29/1992","Addis Ababa&nbsp;&nbsp;","","Oromo Liberation Front, North America Office","4610","01/29/1992"
"JAPAN","Institute of Cetacean Research","07/31/2018","4-5 Toyomi-cho, Chuo-ku, Tokyo 104-0055&nbsp;&nbsp;","","Butterfield Evans & Associates, LLC","6579","07/31/2018"
"INDONESIA","Yayasan Berbakti Semangat Indonesia","02/25/2025","Menara Karya, Jalan HR Rasuna Said Blok X-5 Kavl-2, Kuningan Timur, setiabudi  SelatanJakarta&nbsp;&nbsp;","","Yayasan Berbakti Semangat Indonesia","7544","02/25/2025"
"PAKISTAN","Pakistan Muslim League (Nawaz) USA","11/15/2016","House #20-H, Street #10F- 8/3, Islambad&nbsp;&nbsp;","","Pakistan Muslim League (Nawaz) USA","6521","11/15/2016"
"GERMANY","German State of Rheinland-Pfalz","09/25/2003","Ministry of the Interior and for Sports Office of the State Secretary  Schillerplatz 3 - 5  55116 Ma&nbsp;&nbsp;","","DLA Piper US LLP","3712","08/05/1985"
"BAHRAIN","Kingdom of Bahrain","10/15/2024","Ministry of Foreign Affairs, P.O. Box 547 Manama&nbsp;&nbsp;","","DLA Piper US LLP","3712","08/05/1985"
"SOUTH AFRICA","Tshilidzi Ratshitanga","04/12/2021","Unit 13 Block D Coachman Crossing Office Park 4 Brian Street Lyme Park Bryanston 2191&nbsp;&nbsp;","","Welch, Ba-Shen","6947","04/12/2021"
"SOUTH AFRICA","Sihle Mzoneli","04/12/2021","Unit 13, Block D Coachmans Crossing Office Park4 Brian Street Lyme Park Bryanston 2191&nbsp;&nbsp;","","Welch, Ba-Shen","6947","04/12/2021"
"SOMALIA","Hormuud Telecom Somalia Inc.","09/25/2024","Hormuud Tower, Airport Road WaberiMogadishu&nbsp;&nbsp;","","White Star Business Group LLC","7468","09/25/2024"
"NIGERIA","United states of Biafra","02/10/2025","2435 Candler Rd Decatur&nbsp;&nbsp;30032","GA","United States of Biafra-Biafra Republic Government in Exile-Defacto","7536","02/10/2025"
"CHINA","Guoshun Zhu","12/01/2020","755 WEIHAI RD, JINGAN DISTSHANGHAI 200041&nbsp;&nbsp;","","Xin Min International, Inc.","6897","12/01/2020"
"SCOTLAND","Scottish Enterprise (formerly: Scottish Development Agency)","04/17/1979","&nbsp;&nbsp;","","Scottish Enterprise","3013","04/17/1979"
"TURKEY","Republican People's Party of Turkey (CHP)","05/06/2013","CUMHURIYET HALK PARTISI (CHP) GENEL MERKEZIAnadolu Bulvari No: 12 Sogutozu/ANKARA&nbsp;&nbsp;","","CHP Representation to the United States, LLC","6168","05/06/2013"
"ST. BARTHELEMY","Territorial Committee of the Tourism of Saint Barthelemy","07/20/2015","1 Quai du General de Gaulle, Gustavia, 91733St. Barthelemy&nbsp;&nbsp;","","Lou Hammond & Associates, Inc.","6306","07/20/2015"
"UNITED ARAB EMIRATES","Dubai Corporation for Tourism and Commerce Marketing","11/13/2023","4th Floor, One Central, The Offices 2, Dubai World, PO Box 594  Dubai&nbsp;&nbsp;","","Lou Hammond & Associates, Inc.","6306","07/20/2015"
"INTERNATIONAL","African Export-Import Bank","10/21/2024","72 (B) El-Maahad El-Eshteraky Street HeliopolisCairo&nbsp;&nbsp;","","The Bennett Group DC, LLC","7479","10/21/2024"
"ITALY","Ente Nazionale Italiano per il Turismo","04/21/1949","Rome&nbsp;&nbsp;","","Italian Government Tourist Board, New York","568","04/21/1949"
"CAMBODIA","Ministry of Culture and Fine Arts of Cambodia","06/10/2021","#227 Norodom BoulevardPhnom Penh&nbsp;&nbsp;","","Heimberg, Steven Andrew","6973","06/10/2021"
"LIBERIA","Unity Party of Liberia","08/27/2023","Snapper Hill, Broad Street, Opposite Sacred Heart Monrovia&nbsp;&nbsp;","","Unity Party USA and Canada National Chapter","7309","08/27/2023"
"JAPAN","Embassy of Japan","04/10/2020","2520 Massachusetts Avenue, NWWashington&nbsp;&nbsp;20008","DC","Patrick Griffin","6815","04/10/2020"
"SAUDI ARABIA","Saudi Arabian Oil Company (Saudi Aramco)","11/14/2016","Dhahran&nbsp;&nbsp;","","Aramco Affiliated Services Company (AASC)","6390","11/14/2016"
"SAUDI ARABIA","Government of the Kingdom of Saudi Arabia","11/14/2016","Riyadh&nbsp;&nbsp;","","Aramco Affiliated Services Company (AASC)","6390","11/14/2016"
"JAPAN","Embassy of Japan","05/16/2015","2520 Massachusetts Avenue, NWWashington&nbsp;&nbsp;20008","DC","Greenfield Law, LLC","6294","05/16/2015"
"JAPAN","Embassy of Japan","04/19/2001","2-2-1 Kasumigaseki Chiyoda-ku, Tokyo 100&nbsp;&nbsp;","","Hogan Lovells US LLP","2244","02/18/1971"
"SAUDI ARABIA","Royal Embassy of Saudi Arabia, Washington, D.C.","09/24/2007","601 New Hampshire Avenue, NWWashington&nbsp;&nbsp;20037","DC","Hogan Lovells US LLP","2244","02/18/1971"
"KOREA SOUTH","Ministry of Trade, Industry and Energy (MOTIE) of the Republic of Korea","08/13/2024","402 Hannuri-daeroSejong-si&nbsp;&nbsp;","","Hogan Lovells US LLP","2244","02/18/1971"
"TAIWAN","Democratic Progressive Party","09/06/2013","30 Peiping E. Road 10th FloorTaipei&nbsp;&nbsp;","","Taiwan Democratic Progressive Party Mission in the U.S.","6187","09/06/2013"
"CZECHIA","Jagello 2000","06/28/2022","Marianske namesti 2116/10, Ostrava 9Ostrava&nbsp;&nbsp;","","Webb, David Scott","7132","06/28/2022"
"AUSTRALIA","Intergenerational Environment Justice Fund Ltd","10/21/2024","171-173 Mounts Bay Road Perth, Western Australia 6000&nbsp;&nbsp;","","Cotchett, Pitre & McCarthy, LLP","7480","10/21/2024"
"BOSNIA & HERZEGOVINA","Republic of Srpska","03/31/2025","Bana Milosavljevica 4Banja LukaRepublic of Srpska&nbsp;&nbsp;","","RRB Strategies LLC","7562","03/31/2025"
"SPAIN","Joaquim Badia","02/24/2024","Rue Lausanne 69 Geneve &nbsp;&nbsp;","","Kesti, Michael Wayne","7375","02/24/2024"
"KOREA SOUTH","Korea AeroSpace Administration","07/29/2024","537, Haeansaneop-ro, Sanam-myeonSacheon-Si&nbsp;&nbsp;","","Lee, John","7436","07/29/2024"
"IRAQ","Kurdistan Regional Government, Iraq","01/31/2024","44001 Erbil  Kurdistan Region&nbsp;&nbsp;","","American Kurdish Committee, Inc. (AKC)","7367","01/31/2024"
"UKRAINE","Razom We Stand","12/13/2024","&nbsp;&nbsp;","","Zaslavskiy, Ilya","7503","12/13/2024"
"JAPAN","Manufactured Imports and Investment Promotion Organization (MIPRO)","02/05/1981","Tokyo&nbsp;&nbsp;","","Manufactured Imports and Investment Promotion Organization (MIPRO)","3196","02/05/1981"
"SOUTH AFRICA","Brand South Africa","03/21/2016","103 Central Street Houghton Johannesburg, 2198&nbsp;&nbsp;","","Brand South Africa","6342","03/21/2016"
"CANADA","Province of Saskatchewan","04/10/2009","Room 261 Legislative Building2405 Legislative Drive  Regina&nbsp;&nbsp;","","Nelson Mullins Riley & Scarborough, LLP","5928","04/10/2009"
"BARBADOS","Invest Barbados","02/13/2009","P.O. Box 10009St. Michael 11142Bridgetown&nbsp;&nbsp;","","Berliner Corcoran & Rowe, LLP","5299","02/02/1999"
"CHINA","XH Smart Tech China Co. Ltd.","03/11/2025","No. 6 Hengli Industry Zone, Lianfeng RoadZuhai&nbsp;&nbsp;","","Rathmell Short LLP","7554","03/11/2025"
"IRAQ","Government of Ezidikhan (Indigenous nation within Iraq)","02/12/2025","SinjarSinjar District&nbsp;&nbsp;","","Government of Ezidikhan","7538","02/12/2025"
"VENEZUELA","Reinaldo Munoz Pedroza, Attorney General, Bolivarian Republic of Venezuela","03/20/2020","Caracas&nbsp;&nbsp;","","Amsterdam & Partners, LLP","6325","10/26/2015"
"LIBYA","Libya Asset Recovery & Management Office (""LARMO"")","05/27/2021","Ras Hassan-Tripoli-Libya, P.O. Box 5502Tripoli, Libya Arab Jamahiriya&nbsp;&nbsp;","","Baker & Hostetler LLP","6966","05/27/2021"
"UKRAINE","Dmitry Firtash","03/28/2023","Elisabethstrasse 18  Vienna&nbsp;&nbsp;","","Ben Barnes Group","7250","03/28/2023"
"HAITI","National Movement To Rebuilt And Reconcile Haiti","02/25/2025","8282 Jake Place Alexandria&nbsp;&nbsp;22309","VA","The Estopinan Group LLC","7546","02/25/2025"
"DENMARK","VisitDenmark","07/25/1950","&nbsp;&nbsp;","","VisitDenmark","634","07/25/1950"
"SWEDEN","'V.S. VisitSweden AB'.","07/31/1996","Stockholm&nbsp;&nbsp;","","VisitSweden","4885","01/26/1994"
"IRAQ","Iraqi Nationalist Opposition Front (INOF)","08/16/2021","1415 Fort Riley BlvdManhattan&nbsp;&nbsp;66502","KS","Iraqi Nationalist Opposition Front (INOF)","6992","08/16/2021"
"KOREA SOUTH","Korea AeroSpace Administration","08/12/2024","537, Haeansaneop-ro, Sanam-myeonSacheon-siGyeongsangnam-do&nbsp;&nbsp;","","Kim, Hyun Dae","7441","08/12/2024"
"IRELAND","Xerotech Limited","03/28/2024","Claregalway Corporate ParkClaregalwayGalway&nbsp;&nbsp;","","Anglin, Dion","7391","03/28/2024"
"PANAMA","Government of the Republic of Panama through BGR Government Affairs, LLC","01/17/2025","3a Este, PanamaProvincia de Panama&nbsp;&nbsp;","","VantageKnight LLC","7521","01/17/2025"
"KOREA SOUTH","Korea Institute for International Economic Policy","09/30/2024","Building C, Sejong National Research Complex, 370 Sicheongdaero Sejong-si&nbsp;&nbsp;","","Korea Economic Institute of America","7471","09/30/2024"
"UKRAINE","Volodymyr Zelensky","11/14/2019","Inquiry office of the Presidential Office, 11 Bankova St. Kyiv 01220&nbsp;&nbsp;","","Mac, Andrew","6750","11/14/2019"
"QATAR","State of Qatar","04/10/2023","2555 M Street NW  Washington&nbsp;&nbsp; 20037","DC","Moran Global Strategies, Inc.","7255","04/10/2023"
"NIGERIA","Biafra Republic Government In-Exile","06/20/2024","7200 Belair Road, Suite 2Baltimore&nbsp;&nbsp;21206","MD","Moran Global Strategies, Inc.","7255","04/10/2023"
"ERITREA","National Representative Council of Eritrea-Government In-Exile (NRCE-GIE)","06/20/2024","447 Safari Circle Stone Mountain&nbsp;&nbsp;30083","GA","Moran Global Strategies, Inc.","7255","04/10/2023"
"ARMENIA","National Democratic Alliance of Armenia","06/20/2024","5/5 Alek Manukyan St.Yereven&nbsp;&nbsp;","","Moran Global Strategies, Inc.","7255","04/10/2023"
"CAMEROON","Ambazonia Governing Council","01/08/2025","905 Antonick LaneVirginia Beach&nbsp;&nbsp;","","Moran Global Strategies, Inc.","7255","04/10/2023"
"UNITED ARAB EMIRATES","Emirates Nuclear Energy Company","04/27/2023","IRENA Building Masdar City P.O. Box 112Abu Dhabi &nbsp;&nbsp;","","Peterson, Charles Hayes","7264","04/27/2023"
"UNITED ARAB EMIRATES","United Arab Emirates Embassy in Washington D.C.","01/29/2025","3522 International Ct, NW #100 Washington&nbsp;&nbsp;20000","DC","Soliman, Wael","7530","01/29/2025"
"KAZAKHSTAN","Bergey Ryskaliyev","05/31/2019","&nbsp;&nbsp;","","Wiles, Lanny","6664","04/15/2019"
"IRAQ","Embassy of the Republic of Iraq","01/23/2024","P.O. Box P Street NW Washington&nbsp;&nbsp; 20036","DC","Sarafa, Michael Gregory","7362","01/23/2024"
"AUSTRIA","Austrian National Tourist Office","10/03/1947","New York&nbsp;&nbsp;","NY","Austrian Tourist Office, Inc.","495","10/03/1947"
"TURKEY","GOTURKIYE - Turkish Ministry of Culture & Tourism","09/27/2022","823 United Nations PlazaNew York&nbsp;&nbsp;10017","NY","Geoffrey Weill","7173","09/27/2022"
"UNITED ARAB EMIRATES","Embassy of the United Arab Emirates","09/10/2007","3522 International Court, NWSuite 400Washington&nbsp;&nbsp;20008","DC","Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983"
"JAPAN","Embassy of Japan","03/02/2011","2520 Massachusetts Avenue, NWWashington&nbsp;&nbsp;20008","DC","Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983"
"MARSHALL ISLANDS","Government of the Republic of the Marshall Islands","09/06/2017","2433 Massachusetts Avenue, NWWashington&nbsp;&nbsp;20008","DC","Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983"
"PALAU","Republic of Palau","08/30/2021","Government of the Republic of PalauKoror&nbsp;&nbsp;","","Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983"
"MOROCCO","Embassy of the Kingdom of Morocco","11/11/2021","3508 International Drive, NWWashington&nbsp;&nbsp;20008","DC","Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983"
"CAMBODIA","Embassy of the Kingdom of Cambodia","01/21/2022","4530 16th Street, NWWashington&nbsp;&nbsp;20011","DC","Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983"
"SAUDI ARABIA","Public Investment Fund","09/15/2023","1.16, Al Aqiq District Riyadh&nbsp;&nbsp;","","Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983"
"SWITZERLAND","State Secretariat for Economic Affairs (SECO)","03/14/2025","State Secretariat for Economic Affairs (SECO)Federal Pal Bern &nbsp;&nbsp;","","Akin, Gump, Strauss, Hauer & Feld, LLP","3492","06/24/1983"
"SINGAPORE","Republic of Singapore","03/27/1973","&nbsp;&nbsp;","","Singapore Tourism Board","2414","03/27/1973"
"PAKISTAN","Bilal Ahmed Ghaffar","01/21/2021","74-B Sindhi Muslim Housing SocietyKarachi&nbsp;&nbsp;","","Kashmir Action Network, LLC","6912","01/21/2021"
"SOUTH AFRICA","Democratic Alliance","11/09/2023","Theba Hosken House, 2nd FlCorner Mill & Breda St, Gardens Cape Town&nbsp;&nbsp;","","KRL International, LLC","5788","01/26/2007"
"TAIWAN","Taipei Economic and Cultural Representative Office in the U.S.","05/07/2024","4201 Wisconsin Avenue, NWWashington&nbsp;&nbsp;20016","DC","Skyline Capitol LLC","7404","05/07/2024"
"TURKEY","Government of the Republic of Turkey","09/13/2024","2525 Massachusetts Ave., NWWashington&nbsp;&nbsp;20008","DC","Skyline Capitol LLC","7404","05/07/2024"
"AZERBAIJAN","Embassy of the Republic of Azerbaijan to the United States of America","06/10/2024","2741 34th Street NWWashington&nbsp;&nbsp;20008","DC","Skyline Capitol LLC","7404","05/07/2024"
"CHINA","Gotion, Inc.","04/21/2023","48660 Kato Rd.Fremont&nbsp;&nbsp;94538","CA","Warner Norcross + Judd","7261","04/21/2023"
"CANADA","Red White & Bloom Brands Inc","06/20/2023","789 W Pender St Vancouver, BC, Canada&nbsp;&nbsp;","","Warner Norcross + Judd","7261","04/21/2023"
"INDONESIA","Ministry of Defense of the Republic of Indonesia","06/21/2021","J1. Medan Merdeka Barat No. 13-14&nbsp;&nbsp;","","Ott, Bielitzki & O'Neill PLLC","6573","07/20/2018"
"MALAYSIA","Malaysian Investment Development Authority","12/10/1999","Ground Floor, 3-6, 9 & 11th Floor  Wisma Damansara, Jalan Semantan  Damansara Heights 50490 Kuala Lu&nbsp;&nbsp;","","Malaysian Investment Development Authority","5350","12/10/1999"
"BELGIUM","Open Dialogue Foundation","03/20/2023","Rond-point Schuman 6/5 Brussels  &nbsp;&nbsp;","","Open Dialogue Foundation, Inc.","7246","03/20/2023"
"ISRAEL","Combatica LTD","10/30/2024","15 Halapid St Petah Tikva&nbsp;&nbsp;","","Goetsch, Robert","7485","10/30/2024"
"SAUDI ARABIA","Almarai","12/19/2024","QPP5+73, Northern Ring RdAI IzdiharRiyadh&nbsp;&nbsp;","","Marson, Barrett","7505","12/19/2024"
"BOSNIA & HERZEGOVINA","Republika Srpska","01/13/2025","Bana Milosavljevica 4Banja LukaRepublika Sprska&nbsp;&nbsp;","","Zell & Associates International Advocates LLC","7517","01/13/2025"
"CZECHIA","Czech Ministry of Foreign Affairs","06/21/1996","Praha&nbsp;&nbsp;","","Czech Center, New York","5115","06/21/1996"
"UZBEKISTAN","Ministry of Foreign Affairs of Uzbekistan","06/20/2023","1746 Massachusetts Avenue, NWWashington&nbsp;&nbsp; 20036","DC","Mercado, Sixto","7285","06/20/2023"
"SYRIA","Syrian Democratic Council","01/31/2018","Democratic Federation of Northern Syria, Adderbeseyeh Hassakah&nbsp;&nbsp;","","U.S. Mission of the Syrian Democratic Council","6516","01/31/2018"
"CHINA","Xinhua News Agency","05/05/2021","No. 57, XuanwumenXidajie, Beijing, 100803&nbsp;&nbsp;","","Xinhua News Agency North America","6958","05/05/2021"
"CHINA","China National Tourism Administration (formerly: China International Travel Service)","12/30/1981","Beijing&nbsp;&nbsp;","","China National Tourist Office","3318","12/30/1981"
"PALESTINE","Palestinian Authority","11/14/2014","P.O. Box 795Ramallah&nbsp;&nbsp;","","Squire Patton Boggs, LLP","2165","10/09/1969"
"KOREA SOUTH","Embassy of the Republic of Korea","01/10/2018","2450 Massachusetts Avenue, NWWashington&nbsp;&nbsp;20008","DC","Squire Patton Boggs, LLP","2165","10/09/1969"
"ANGOLA","Government of the Republic of Angola","06/25/2019","Office of the Presidency of the Republic of AngolaPresidential Palace Luanda&nbsp;&nbsp;","","Squire Patton Boggs, LLP","2165","10/09/1969"
"COLOMBIA","The Embassy of Colombia in the United States","10/07/2024","1724 Massachusetts Avenue N.W. Washington&nbsp;&nbsp;20036","DC","Squire Patton Boggs, LLP","2165","10/09/1969"
"QATAR","Qatar","05/12/2023","Embassy of Qatar2555 M Street, NW Washington&nbsp;&nbsp;20037","DC","Bachner Group LLC","7271","05/12/2023"
"GUYANA","Guyana Ministry of Tourism, Industry & Commerce","12/30/2020","National Exhibition CentreGeorgetown&nbsp;&nbsp;","","Behrend, Jane S.","6902","12/30/2020"
"SAUDI ARABIA","Embassy of Saudi Arabia","06/29/2018","601 New Hamphsire Avenue, NWWashington&nbsp;&nbsp;20037","DC","McKeon Group, Inc.","6391","11/16/2016"
"TURKEY","Embassy of Turkey","06/11/2021","2525 Massachusetts AvenueWashington&nbsp;&nbsp;20007","DC","Garvey Strategies","6974","06/11/2021"
"VENEZUELA","The Ad Hoc Board of Petroleos de Venezuela, S.A. (PDVSA Ad Hoc Board)","08/20/2021","&nbsp;&nbsp;","","CITGO Petroleum Corporation (CPC)","6996","08/20/2021"
"ITALY","Italian Trade Agency","01/10/2025","&nbsp;&nbsp;","","GMJ Global, LLC","7516","01/10/2025"
"QATAR","Embassy of the State of Qatar through Venable LLP","12/08/2017","2555 M Street, NWWashington&nbsp;&nbsp;20037","DC","Iron Bridge Strategies LLC","6497","12/08/2017"
"MOROCCO","Ministry of Foreign Affairs and International Cooperation of the Kingdom of Morocco (through JPC Strategies LLC)","01/29/2018","7 RUE F. ROOSEVELTRABAT&nbsp;&nbsp;","","Iron Bridge Strategies LLC","6497","12/08/2017"
"YEMEN","Southern Transitional Council","08/03/2021","1 Gold Mohur Beach, Al-TawahiAden, South Yemen&nbsp;&nbsp;","","Ahmed, Summer","6983","08/03/2021"
"GERMANY","DIHK DEinternational GmbH","08/30/2021","Breite Strasse 29Berlin&nbsp;&nbsp;","","Delegation of German Industry and Commerce in Washington DC, LLC","7002","08/30/2021"
"PAKISTAN","Institute of Regional Studies","02/04/2025","Ataturk Avenue, Sector F-5/2Islamabad&nbsp;&nbsp;","","Ajjan Associates LLC","7533","02/04/2025"
"SAUDI ARABIA","Government of Saudi Arabia","10/26/2016","601 New Hampshire Avenue, NWWashington&nbsp;&nbsp;20037","DC","Hohlt Group Global, LLC","6384","10/26/2016"
"SAUDI ARABIA","NEOM Company","07/08/2019","Information Technology and Communications ComplexBuilding IN-01, Al Nakheel District, P.O. Box 10, Riyadh 11411&nbsp;&nbsp;","","Teneo Strategy LLC","6698","07/08/2019"
"SAUDI ARABIA","Public Investment Fund","09/05/2021","Alra'idah Digital City, Building MU04, Al Nakhil DistrictP.O. Box 6847, Riyadh 11452&nbsp;&nbsp;","","Teneo Strategy LLC","6698","07/08/2019"
"SAUDI ARABIA","Regional Voluntary Carbon Market Company (RVCMC)","08/18/2023","RGNB3936, 6651, Al Nakheel District Riyadh&nbsp;&nbsp;","","Teneo Strategy LLC","6698","07/08/2019"
"AZERBAIJAN","COP29 Azerbaijan Operations Company","06/10/2024","2020 Business Center, 99 Merkezi Bulvar Street, Khatai DistrictBaku&nbsp;&nbsp;","","Teneo Strategy LLC","6698","07/08/2019"
"DOMINICAN REPUBLIC","New York Office of the Ministry of Tourism of the Dominican Republic","02/19/2025","136 East 57th Street, Suite 803 New York &nbsp;&nbsp;10022","NY","Teneo Strategy LLC","6698","07/08/2019"
"PARAGUAY","Lilian Samaniego","07/09/2022","Chamber of Senators, 14 de Mayo e/Avenida RepublicaAsuncion&nbsp;&nbsp;","","Planty & Associates LLC","7136","07/09/2022"
"MOZAMBIQUE","Daniel Francisco Chapo","12/20/2024","248 dos LusiadasMaputo&nbsp;&nbsp;","","Ernest, Unik","7507","12/20/2024"
"CANADA","Government of Alberta (Canada)","06/24/2022","Alberta Office, Embassy of Canada501 Pennsylvania Avenue, NWWashington&nbsp;&nbsp;20001","DC","Capitol Counsel, LLC","6328","11/19/2015"
"CANADA","Government of Ontario (Canada) - Ministry of Intergovernmental Affairs - Cabinet Office","08/09/2024","International Relations & Protocol Division, 5th floor, 99 Wellesley Street WestToronto&nbsp;&nbsp;","","Capitol Counsel, LLC","6328","11/19/2015"
"IRAQ","Embassy of the Republic of Iraq","10/31/2018","3421 Massachusetts Avenue, NWWashington&nbsp;&nbsp;20007","DC","Holly Strategies Incorporated","6605","10/31/2018"
"EGYPT","Foreign Ministry of the Arab Republic of Egypt","03/17/2021","3521 International Court NWWashington&nbsp;&nbsp;20008","DC","Holly Strategies Incorporated","6605","10/31/2018"
"MOROCCO","Embassy of Morocco through Brownstein Hatt Farber Schreck, LLP","12/05/2021","3508 International  Drive NWWashington&nbsp;&nbsp;20008","DC","Holly Strategies Incorporated","6605","10/31/2018"
"SWEDEN","Swedish Defence University","04/17/2023","Drottning Kristinas Vag 37, Box 27805 Stockholm&nbsp;&nbsp;","","Svensson, Bengt Allan","7259","04/17/2023"
"AUSTRALIA","Julian Assange","02/05/2024","His Majesty's Prison BelmarshWestern Way London&nbsp;&nbsp;","","Harris St. Laurent & Wechsler LLP","7370","02/05/2024"
"SWITZERLAND","Vladislav Osipov","11/21/2024","&nbsp;&nbsp;","","Harris St. Laurent & Wechsler LLP","7370","02/05/2024"
"QATAR","QatarEnergy","01/16/2025","QatarEnergy HQ Tower 4 Podium Level Building No. 4, StreetNo. 951, Zone 63 (P.O. Box 3212)Doha&nbsp;&nbsp;","","QatarEnergy U.S. Holding Corporation, Inc.","7519","01/16/2025"
"AZERBAIJAN","Embassy of the Republic of Azerbaijan to the United States of America","01/31/2020","2741 34th Street, NWWashington&nbsp;&nbsp;20008","DC","Stellar Jay Communications","6789","01/31/2020"
"QATAR","Embassy of the State of Qatar","12/17/2019","2555 M Street, NWWashington&nbsp;&nbsp;20037","DC","Waltham PLLC","6771","12/17/2019"
"MEXICO","Government of the United Mexican States","08/18/2021","Ave. Juarez #20, Col. Centro, CP 06010, Del., Centro, CP06010, Del. Cuauhtemoc Mexico City&nbsp;&nbsp;","","Shadowen, Steve Duane","6993","08/18/2021"
"IRAN","National Council of Resistance of Iran","09/26/2019","&nbsp;&nbsp;","","Mukasey, Michael B.","6727","09/26/2019"
"IRAQ","Council of Ministers Kurdistan Regional Government","01/06/2023","44001 Erbil Erbil, Kurdistan Region&nbsp;&nbsp;","","Kurdish Protection Action Committee","7213","01/06/2023"
"AUSTRIA","Representative Office of Republika Srpska in Austria","03/27/2025","Albertgasse 35Wien&nbsp;&nbsp;","","Global Strategy Advisors LLC","7560","03/27/2025"
"IRAQ","Kurdish Regional Government (formerly known as Kurdish Democratic Party)","06/25/2004","1015 18th Street, N.W.  Suite 704  Washington&nbsp;&nbsp;20036","DC","BGR Government Affairs, LLC","5430","05/10/2001"
"INDIA","Republic of India, Embassy","09/12/2005","2107 Massachusetts Avenue, NWWashington&nbsp;&nbsp;20008","DC","BGR Government Affairs, LLC","5430","05/10/2001"
"QATAR","Embassy of the State of Qatar","12/08/2021","2555 M Street, NWWashington&nbsp;&nbsp;20037","DC","BGR Government Affairs, LLC","5430","05/10/2001"
"LEBANON","Bahaa Hariri","03/09/2023","3 Avenue de la Madone  Monte-Carlo&nbsp;&nbsp;","","BGR Government Affairs, LLC","5430","05/10/2001"
"LIBERIA","LISCR, LLC","05/17/2023","22980 Indian Creek Drive Dulles&nbsp;&nbsp;20166","VA","BGR Government Affairs, LLC","5430","05/10/2001"
"IRAQ","Taqadum Party","06/28/2023","Al Sodad for General Constructions CompanyDaoudy Area Main Street Baghdad  &nbsp;&nbsp;","","BGR Government Affairs, LLC","5430","05/10/2001"
"SERBIA","Embassy of the Republic of Serbia","07/28/2023","1333 16th Street, NW Washington&nbsp;&nbsp;20036","DC","BGR Government Affairs, LLC","5430","05/10/2001"
"DOMINICAN REPUBLIC","DCI Group AZ, LLC on behalf of Donald Guerrero, former Finance Minister of the Dominican Republic, through Axis Holding LLC","02/27/2024","1086 Ave Munoz Rivera  San Juan&nbsp;&nbsp;","","BGR Government Affairs, LLC","5430","05/10/2001"
"ALGERIA","People's Democratic Republic of Algeria","09/13/2024","2118 Kalorama Road, N.W. Washington&nbsp;&nbsp;20008","DC","BGR Government Affairs, LLC","5430","05/10/2001"
"SOMALIA","Embassy of Somalia","12/10/2024","1609 22nd Street, NW Washington&nbsp;&nbsp;20008","DC","BGR Government Affairs, LLC","5430","05/10/2001"
"PANAMA","Government of the Republic of Panama","01/17/2025","3a EsteProvincia de Panama&nbsp;&nbsp;","","BGR Government Affairs, LLC","5430","05/10/2001"
"UKRAINE","Stand with Ukraine through PLUS Communications, LLC","01/23/2025","22 St Claire Ave E, Suite 1500Toronto&nbsp;&nbsp;","","BGR Government Affairs, LLC","5430","05/10/2001"
